epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.652,1.57114,4.93646,1.74847,0.56497,0.21131,0.23274,0.15474,1.25597,3.14955,1.34147,0.000112386,0.000112386,0.000112386
2,256.9,1.24486,2.65037,1.3783,0.23274,0.59165,0.4299,0.2966,1.21285,1.84688,1.32466,0.000223634,0.000223634,0.000223634
3,402.572,1.26863,1.87505,1.35564,0.58842,0.55841,0.59215,0.41067,1.13162,1.2705,1.26439,0.000331088,0.000331088,0.000331088
4,500.299,1.17576,1.50107,1.31514,0.53079,0.71604,0.68391,0.46536,1.16796,1.19915,1.26875,0.000327922,0.000327922,0.000327922
5,598.229,1.21107,1.33066,1.30776,0.73145,0.5033,0.66565,0.42447,1.2866,1.92401,1.32995,0.00032223,0.00032223,0.00032223
6,701.942,1.18838,1.20863,1.29712,0.76858,0.64857,0.77736,0.52212,1.13894,1.10912,1.23631,0.000316537,0.000316537,0.000316537
7,801.417,1.14052,1.12223,1.26659,0.83803,0.61511,0.81547,0.50935,1.24364,0.8971,1.29494,0.000310845,0.000310845,0.000310845
8,908.75,1.17151,1.13066,1.31136,0.6498,0.77423,0.80255,0.53301,1.16664,0.99139,1.22879,0.000305152,0.000305152,0.000305152
9,1017.63,1.11898,1.0298,1.24624,0.64457,0.76297,0.81047,0.53265,1.27562,1.06026,1.3133,0.00029946,0.00029946,0.00029946
10,1118.6,1.1295,0.98817,1.27255,0.76151,0.76691,0.86794,0.55936,1.22541,0.82729,1.26901,0.000293768,0.000293768,0.000293768
11,1237.96,1.10248,0.9035,1.24023,0.72361,0.81895,0.90036,0.61233,1.17094,0.77465,1.24724,0.000288075,0.000288075,0.000288075
12,1352.47,1.13023,0.90294,1.24523,0.73134,0.89528,0.91266,0.62124,1.14517,0.72104,1.23317,0.000282382,0.000282382,0.000282382
13,1452.77,1.09066,0.85887,1.21664,0.73161,0.86882,0.90707,0.5581,1.17109,0.72045,1.252,0.00027669,0.00027669,0.00027669
14,1573.34,1.10176,0.87221,1.22698,0.89625,0.82332,0.93665,0.62302,1.19378,0.68769,1.23744,0.000270997,0.000270997,0.000270997
15,1681.02,1.08902,0.85102,1.22866,0.74517,0.8863,0.91734,0.61265,1.17237,0.69373,1.22561,0.000265305,0.000265305,0.000265305
16,1799.47,1.07235,0.80704,1.21214,0.86598,0.84193,0.95674,0.64428,1.1554,0.60415,1.25755,0.000259612,0.000259612,0.000259612
17,1910.27,1.0393,0.78036,1.21779,0.87431,0.90994,0.96134,0.66364,1.10236,0.60161,1.1832,0.00025392,0.00025392,0.00025392
18,2020.42,1.06457,0.76909,1.20321,0.85264,0.8918,0.9664,0.66598,1.12456,0.60724,1.19196,0.000248228,0.000248228,0.000248228
19,2121.62,1.0308,0.74932,1.17665,0.74576,0.91492,0.94739,0.65485,1.07618,0.63789,1.18402,0.000242535,0.000242535,0.000242535
20,2237.36,1.04122,0.74559,1.19677,0.77835,0.92078,0.95882,0.67743,1.03082,0.59365,1.16384,0.000236843,0.000236843,0.000236843
21,2363.03,1.04811,0.73871,1.21592,0.83812,0.94984,0.95489,0.64071,1.1464,0.59971,1.2249,0.00023115,0.00023115,0.00023115
22,2497.85,1.04427,0.70125,1.19841,0.90738,0.92039,0.97235,0.64761,1.14429,0.56456,1.20393,0.000225457,0.000225457,0.000225457
23,2613.44,1.02377,0.71133,1.19061,0.84513,0.92016,0.94701,0.66496,1.08196,0.55598,1.16661,0.000219765,0.000219765,0.000219765
24,2740.87,0.98934,0.70441,1.15348,0.90282,0.87388,0.97474,0.68013,1.04437,0.58991,1.13959,0.000214073,0.000214073,0.000214073
25,2852.46,0.99658,0.69073,1.15573,0.91218,0.88281,0.9696,0.69215,1.02245,0.55204,1.14395,0.00020838,0.00020838,0.00020838
26,2961.47,1.01328,0.6819,1.16438,0.93229,0.87698,0.9639,0.67839,1.06297,0.54641,1.17203,0.000202687,0.000202687,0.000202687
